,Date,Settle,Relative Value,Settle Delta,Rel Val Delta,Signal,Profit,EC
0,2019-07-26,1419.3,1471.4063720703125,,10.4051513671875,1.0,,
5,2019-07-19,1426.7,1461.001220703125,-7.400000000000091,-4.5286865234375,-1.0,7.400000000000091,178.79999999999995
10,2019-07-12,1412.2,1465.5299072265625,14.5,80.220458984375,1.0,14.5,171.39999999999986
15,2019-07-05,1400.1,1385.3094482421875,12.100000000000136,0.0,0.0,0.0,156.89999999999986
19,2019-06-28,1413.7,1385.3094482421875,-13.600000000000136,21.3931884765625,1.0,-13.600000000000136,156.89999999999986
24,2019-06-21,1396.2,1363.916259765625,17.5,27.4248046875,1.0,17.5,170.5
29,2019-06-14,1340.1,1336.491455078125,56.100000000000136,29.91796875,1.0,56.100000000000136,153.0
34,2019-06-07,1341.2,1306.573486328125,-1.1000000000001364,-1.09765625,-1.0,1.1000000000001364,96.89999999999986
39,2019-05-31,1305.8,1307.671142578125,35.40000000000009,-15.9652099609375,-1.0,-35.40000000000009,95.79999999999973
43,2019-05-24,1283.0,1323.6363525390625,22.799999999999955,31.029541015625,1.0,22.799999999999955,131.19999999999982
48,2019-05-17,1274.5,1292.6068115234375,8.5,5.5927734375,1.0,8.5,108.39999999999986
53,2019-05-10,1285.7,1287.0140380859375,-11.200000000000045,4.31103515625,1.0,-11.200000000000045,99.89999999999986
58,2019-05-03,1279.2,1282.7030029296875,6.5,-20.4031982421875,-1.0,-6.5,111.09999999999991
63,2019-04-26,1284.9,1303.106201171875,-5.7000000000000455,-5.4251708984375,-1.0,5.7000000000000455,117.59999999999991
72,2019-04-12,1290.6,1308.5313720703125,-5.699999999999818,-30.754150390625,-1.0,5.699999999999818,111.89999999999986
77,2019-04-05,1290.4,1339.2855224609375,0.1999999999998181,3.081787109375,1.0,0.1999999999998181,106.20000000000005
82,2019-03-29,1293.0,1336.2037353515625,-2.599999999999909,11.8236083984375,1.0,-2.599999999999909,106.00000000000023
87,2019-03-22,1311.6,1324.380126953125,-18.59999999999991,3.716064453125,1.0,-18.59999999999991,108.60000000000014
92,2019-03-15,1301.8,1320.6640625,9.799999999999955,-46.0667724609375,-1.0,-9.799999999999955,127.20000000000005
97,2019-03-08,1297.0,1366.7308349609375,4.7999999999999545,-1.08837890625,-1.0,-4.7999999999999545,137.0
102,2019-03-01,1296.4,1367.8192138671875,0.599999999999909,25.73779296875,1.0,0.599999999999909,141.79999999999995
107,2019-02-22,1329.2,1342.0814208984375,-32.799999999999955,-6.677490234375,-1.0,32.799999999999955,141.20000000000005
111,2019-02-15,1318.1,1348.7589111328125,11.100000000000136,22.952392578125,1.0,11.100000000000136,108.40000000000009
116,2019-02-08,1313.7,1325.8065185546875,4.399999999999864,9.2218017578125,1.0,4.399999999999864,97.29999999999995
121,2019-02-01,1316.9,1316.584716796875,-3.2000000000000455,-5.2513427734375,-1.0,3.2000000000000455,92.90000000000009
126,2019-01-25,1298.1,1321.8360595703125,18.800000000000182,15.9884033203125,1.0,18.800000000000182,89.70000000000005
130,2019-01-18,1282.6,1305.84765625,15.5,4.6431884765625,1.0,15.5,70.89999999999986
135,2019-01-11,1289.5,1301.2044677734375,-6.900000000000091,19.823974609375,1.0,-6.900000000000091,55.399999999999864
140,2019-01-04,1285.8,1281.3804931640625,3.7000000000000455,23.7137451171875,1.0,3.7000000000000455,62.299999999999955
144,2018-12-28,1283.0,1257.666748046875,2.7999999999999545,10.9296875,1.0,2.7999999999999545,58.59999999999991
148,2018-12-21,1253.8,1246.737060546875,29.200000000000045,4.81298828125,1.0,29.200000000000045,55.799999999999955
153,2018-12-14,1237.0,1241.924072265625,16.799999999999955,2.8404541015625,1.0,16.799999999999955,26.59999999999991
158,2018-12-07,1246.8,1239.0836181640625,-9.799999999999955,-4.651611328125,-1.0,9.799999999999955,9.799999999999955
163,2018-11-30,1220.2,1243.7352294921875,26.59999999999991,,,,
