,Date,Settle,Relative Value,Settle Delta,Rel Val Delta,Signal,Profit,EC
0,2019-07-26,1531.0,1553.1483154296875,,-6.7677001953125,-1.0,,
5,2019-07-19,1508.3,1559.916015625,22.700000000000045,20.7518310546875,1.0,22.700000000000045,280.8000000000004
10,2019-07-12,1542.4,1539.1641845703125,-34.100000000000136,104.070556640625,1.0,-34.100000000000136,258.10000000000036
15,2019-07-05,1564.2,1435.0936279296875,-21.799999999999955,0.0,0.0,-0.0,292.2000000000005
19,2019-06-28,1537.6,1435.0936279296875,26.600000000000136,87.24072265625,1.0,26.600000000000136,292.2000000000005
24,2019-06-21,1491.3,1347.8529052734375,46.299999999999955,14.455810546875,1.0,46.299999999999955,265.60000000000036
29,2019-06-14,1452.7,1333.3970947265625,38.59999999999991,9.216552734375,1.0,38.59999999999991,219.3000000000004
34,2019-06-07,1349.5,1324.1805419921875,103.20000000000005,-5.5242919921875,-1.0,-103.20000000000005,180.7000000000005
39,2019-05-31,1333.9,1329.704833984375,15.599999999999909,4.7193603515625,1.0,15.599999999999909,283.90000000000055
43,2019-05-24,1330.4,1324.9854736328125,3.5,-18.5684814453125,-1.0,-3.5,268.30000000000064
48,2019-05-17,1310.5,1343.553955078125,19.90000000000009,-59.7059326171875,-1.0,-19.90000000000009,271.80000000000064
53,2019-05-10,1355.4,1403.2598876953125,-44.90000000000009,20.4505615234375,1.0,-44.90000000000009,291.7000000000007
58,2019-05-03,1362.7,1382.809326171875,-7.2999999999999545,44.308837890625,1.0,-7.2999999999999545,336.6000000000008
63,2019-04-26,1452.2,1338.50048828125,-89.5,-39.98876953125,-1.0,89.5,343.9000000000008
72,2019-04-12,1355.2,1378.4892578125,97.0,-188.8477783203125,-1.0,-97.0,254.40000000000077
77,2019-04-05,1349.1,1567.3370361328125,6.100000000000136,14.46484375,1.0,6.100000000000136,351.4000000000008
82,2019-03-29,1345.0,1552.8721923828125,4.099999999999909,39.2484130859375,1.0,4.099999999999909,345.30000000000064
87,2019-03-22,1535.9,1513.623779296875,-190.9000000000001,-9.0416259765625,-1.0,190.9000000000001,341.2000000000007
92,2019-03-15,1535.6,1522.6654052734375,0.3000000000001819,40.3238525390625,1.0,0.3000000000001819,150.30000000000064
97,2019-03-08,1489.0,1482.341552734375,46.59999999999991,70.6654052734375,1.0,46.59999999999991,150.00000000000045
102,2019-03-01,1536.6,1411.6761474609375,-47.59999999999991,41.24658203125,1.0,-47.59999999999991,103.40000000000055
107,2019-02-22,1462.2,1370.4295654296875,74.39999999999986,47.785400390625,1.0,74.39999999999986,151.00000000000045
111,2019-02-15,1407.2,1322.6441650390625,55.0,26.001953125,1.0,55.0,76.60000000000059
116,2019-02-08,1371.2,1296.6422119140625,36.0,-24.40771484375,-1.0,-36.0,21.60000000000059
121,2019-02-01,1313.6,1321.0499267578125,57.600000000000136,51.1014404296875,1.0,57.600000000000136,57.60000000000059
126,2019-01-25,1319.8,1269.948486328125,-6.2000000000000455,49.0447998046875,1.0,-6.2000000000000455,4.547473508864641e-13
130,2019-01-18,1335.1,1220.9036865234375,-15.299999999999955,13.6488037109375,1.0,-15.299999999999955,6.2000000000005
135,2019-01-11,1278.7,1207.2548828125,56.399999999999864,-7.0135498046875,-1.0,-56.399999999999864,21.500000000000455
140,2019-01-04,1234.4,1214.2684326171875,44.299999999999955,12.0159912109375,1.0,44.299999999999955,77.90000000000032
144,2018-12-28,1183.4,1202.25244140625,51.0,19.9036865234375,1.0,51.0,33.600000000000364
148,2018-12-21,1207.7,1182.3487548828125,-24.299999999999955,16.748046875,1.0,-24.299999999999955,-17.399999999999636
153,2018-12-14,1198.6,1165.6007080078125,9.100000000000136,48.3367919921875,1.0,9.100000000000136,6.900000000000318
158,2018-12-07,1196.4,1117.263916015625,2.199999999999818,-10.85107421875,-1.0,-2.199999999999818,-2.199999999999818
163,2018-11-30,1168.6,1128.114990234375,27.800000000000182,,,,
