,Date,Settle,Relative Value,Settle Delta,Rel Val Delta,Signal,Profit,EC
0,2019-07-26,862.7,834.0775146484375,,20.68634033203125,1.0,,
5,2019-07-19,845.9,813.3911743164062,16.800000000000068,-6.1361083984375,-1.0,-16.800000000000068,48.49999999999977
10,2019-07-12,828.4,819.5272827148438,17.5,43.0799560546875,1.0,17.5,65.29999999999984
15,2019-07-05,805.2,776.4473266601562,23.199999999999932,0.0,0.0,0.0,47.79999999999984
19,2019-06-28,835.5,776.4473266601562,-30.299999999999955,-13.0301513671875,-1.0,30.299999999999955,47.79999999999984
24,2019-06-21,811.0,789.4774780273438,24.5,-9.8753662109375,-1.0,-24.5,17.499999999999886
29,2019-06-14,804.7,799.3528442382812,6.2999999999999545,4.9052734375,1.0,6.2999999999999545,41.999999999999886
34,2019-06-07,806.1,794.4475708007812,-1.3999999999999773,-32.21612548828125,-1.0,1.3999999999999773,35.69999999999993
39,2019-05-31,794.2,826.6636962890625,11.899999999999977,-36.861328125,-1.0,-11.899999999999977,34.299999999999955
43,2019-05-24,800.6,863.5250244140625,-6.399999999999977,-13.46234130859375,-1.0,6.399999999999977,46.19999999999993
48,2019-05-17,818.4,876.9873657226562,-17.799999999999955,-25.9508056640625,-1.0,17.799999999999955,39.799999999999955
53,2019-05-10,862.4,902.9381713867188,-44.0,0.1956787109375,1.0,-44.0,22.0
58,2019-05-03,871.6,902.7424926757812,-9.200000000000045,2.232666015625,1.0,-9.200000000000045,66.0
63,2019-04-26,898.2,900.5098266601562,-26.600000000000023,40.19940185546875,1.0,-26.600000000000023,75.20000000000005
72,2019-04-12,893.2,860.3104248046875,5.0,-4.9306640625,-1.0,-5.0,101.80000000000007
77,2019-04-05,901.0,865.2410888671875,-7.7999999999999545,30.838623046875,1.0,-7.7999999999999545,106.80000000000007
82,2019-03-29,848.9,834.4024658203125,52.10000000000002,17.39227294921875,1.0,52.10000000000002,114.60000000000002
87,2019-03-22,847.2,817.0101928710938,1.6999999999999318,-35.822998046875,-1.0,-1.6999999999999318,62.5
92,2019-03-15,830.3,852.8331909179688,16.90000000000009,12.01641845703125,1.0,16.90000000000009,64.19999999999993
97,2019-03-08,816.0,840.8167724609375,14.299999999999955,45.36822509765625,1.0,14.299999999999955,47.29999999999984
102,2019-03-01,861.6,795.4485473632812,-45.60000000000002,8.88916015625,1.0,-45.60000000000002,32.999999999999886
107,2019-02-22,843.7,786.5593872070312,17.899999999999977,-28.50244140625,-1.0,-17.899999999999977,78.59999999999991
111,2019-02-15,805.3,815.0618286132812,38.40000000000009,14.7261962890625,1.0,38.40000000000009,96.49999999999989
116,2019-02-08,801.7,800.3356323242188,3.599999999999909,13.18414306640625,1.0,3.599999999999909,58.099999999999795
121,2019-02-01,824.9,787.1514892578125,-23.199999999999932,-17.1566162109375,-1.0,23.199999999999932,54.499999999999886
126,2019-01-25,813.5,804.30810546875,11.399999999999977,-0.5721435546875,-1.0,-11.399999999999977,31.299999999999955
130,2019-01-18,797.8,804.8802490234375,15.700000000000045,7.3092041015625,1.0,15.700000000000045,42.69999999999993
135,2019-01-11,813.0,797.571044921875,-15.200000000000045,1.968994140625,1.0,-15.200000000000045,26.999999999999886
140,2019-01-04,822.0,795.60205078125,-9.0,-0.523681640625,-1.0,9.0,42.19999999999993
144,2018-12-28,789.6,796.125732421875,32.39999999999998,3.30340576171875,1.0,32.39999999999998,33.19999999999993
148,2018-12-21,795.8,792.8223266601562,-6.199999999999932,-26.46844482421875,-1.0,6.199999999999932,0.7999999999999545
153,2018-12-14,785.3,819.290771484375,10.5,-35.0955810546875,-1.0,-10.5,-5.399999999999977
158,2018-12-07,790.4,854.3863525390625,-5.100000000000023,-2.19158935546875,-1.0,5.100000000000023,5.100000000000023
163,2018-11-30,799.8,856.5779418945312,-9.399999999999977,,,,
