,Date,Settle,Relative Value,Settle Delta,Rel Val Delta,Signal,Profit,EC
0,2019-07-26,16.325,15.431811332702637,,0.23482131958007812,1.0,,
5,2019-07-19,16.117,15.196990013122559,0.2079999999999984,-0.13428688049316406,-1.0,-0.2079999999999984,2.5720000000000063
10,2019-07-12,15.161,15.331276893615723,0.9560000000000013,0.7090396881103516,1.0,0.9560000000000013,2.7800000000000047
15,2019-07-05,14.918,14.622237205505371,0.24300000000000033,0.0,0.0,0.0,1.8240000000000034
19,2019-06-28,15.253,14.622237205505371,-0.33500000000000085,-0.13612842559814453,-1.0,0.33500000000000085,1.8240000000000034
24,2019-06-21,15.29,14.758365631103516,-0.036999999999999034,0.11993789672851562,1.0,-0.036999999999999034,1.4890000000000025
29,2019-06-14,14.802999999999999,14.638427734375,0.4870000000000001,0.17986106872558594,1.0,0.4870000000000001,1.5260000000000016
34,2019-06-07,15.030999999999999,14.458566665649414,-0.22799999999999976,-0.022812843322753906,-1.0,0.22799999999999976,1.0390000000000015
39,2019-05-31,14.567,14.481379508972168,0.46399999999999864,-0.31573963165283203,-1.0,-0.46399999999999864,0.8110000000000017
43,2019-05-24,14.52,14.797119140625,0.0470000000000006,-0.06491661071777344,-1.0,-0.0470000000000006,1.2750000000000004
48,2019-05-17,14.347999999999999,14.862035751342773,0.1720000000000006,-0.24510478973388672,-1.0,-0.1720000000000006,1.322000000000001
53,2019-05-10,14.725999999999999,15.10714054107666,-0.3780000000000001,0.19088363647460938,1.0,-0.3780000000000001,1.4940000000000015
58,2019-05-03,14.907,14.91625690460205,-0.18100000000000094,-0.08302974700927734,-1.0,0.18100000000000094,1.8720000000000017
63,2019-04-26,15.002,14.999286651611328,-0.09500000000000064,-0.33576107025146484,-1.0,0.09500000000000064,1.6910000000000007
72,2019-04-12,14.92,15.335047721862793,0.08200000000000074,-0.3632526397705078,-1.0,-0.08200000000000074,1.596
77,2019-04-05,15.043,15.6983003616333,-0.12299999999999933,0.11851978302001953,1.0,-0.12299999999999933,1.6780000000000008
82,2019-03-29,15.06,15.579780578613281,-0.017000000000001236,0.048412322998046875,1.0,-0.017000000000001236,1.8010000000000002
87,2019-03-22,15.345,15.531368255615234,-0.28500000000000014,-0.19068527221679688,-1.0,0.28500000000000014,1.8180000000000014
92,2019-03-15,15.253,15.722053527832031,0.09200000000000053,-0.6064128875732422,-1.0,-0.09200000000000053,1.5330000000000013
97,2019-03-08,15.272,16.328466415405273,-0.019000000000000128,0.34409618377685547,1.0,-0.019000000000000128,1.6250000000000018
102,2019-03-01,15.169,15.984370231628418,0.10299999999999976,-0.08455562591552734,-1.0,-0.10299999999999976,1.644000000000002
107,2019-02-22,15.914000000000001,16.068925857543945,-0.745000000000001,-0.31935691833496094,-1.0,0.745000000000001,1.7470000000000017
111,2019-02-15,15.743,16.388282775878906,0.17100000000000115,0.3408050537109375,1.0,0.17100000000000115,1.0020000000000007
116,2019-02-08,15.809000000000001,16.04747772216797,-0.06600000000000072,0.15814590454101562,1.0,-0.06600000000000072,0.8309999999999995
121,2019-02-01,15.931,15.889331817626953,-0.12199999999999811,-0.21688461303710938,-1.0,0.12199999999999811,0.8970000000000002
126,2019-01-25,15.639000000000001,16.106216430664062,0.29199999999999804,-0.03580474853515625,-1.0,-0.29199999999999804,0.7750000000000021
130,2019-01-18,15.33,16.14202117919922,0.30900000000000105,0.4989652633666992,1.0,0.30900000000000105,1.0670000000000002
135,2019-01-11,15.577,15.64305591583252,-0.2469999999999999,0.6086215972900391,1.0,-0.2469999999999999,0.7579999999999991
140,2019-01-04,15.695,15.03443431854248,-0.11800000000000033,0.05621814727783203,1.0,-0.11800000000000033,1.004999999999999
144,2018-12-28,15.325999999999999,14.978216171264648,0.36900000000000155,0.1799907684326172,1.0,0.36900000000000155,1.1229999999999993
148,2018-12-21,14.583,14.798225402832031,0.7429999999999986,0.1946554183959961,1.0,0.7429999999999986,0.7539999999999978
153,2018-12-14,14.513,14.603569984436035,0.07000000000000028,0.08512592315673828,1.0,0.07000000000000028,0.010999999999999233
158,2018-12-07,14.572000000000001,14.518444061279297,-0.05900000000000105,0.052371978759765625,1.0,-0.05900000000000105,-0.05900000000000105
163,2018-11-30,14.094000000000001,14.466072082519531,0.47799999999999976,,,,
